company,statementDate,quarter,year,accountClassification,account,amount
AMD,2017-12-31,4,2017,5 - Equity,5.1 - Stockholders Equity,611000000.0
AMD,2016-12-31,4,2016,1 - Current Assets,1.1 - Cash & Cash Equivalents,1264000000.0
AMD,2016-12-31,4,2016,1 - Current Assets,1.2 - Short Term Investments,0.0
AMD,2016-12-31,4,2016,1 - Current Assets,1.3 - Accounts Receivable,311000000.0
AMD,2016-12-31,4,2016,1 - Current Assets,1.4 - Inventory,751000000.0
AMD,2016-12-31,4,2016,1 - Current Assets,1.5 - Other Current Assets,204000000.0
AMD,2016-12-31,4,2016,2 - Non-Current Assets,2.1 - Net PPE,164000000.0
AMD,2016-12-31,4,2016,2 - Non-Current Assets,2.2 - Goodwill,289000000.0
AMD,2016-12-31,4,2016,2 - Non-Current Assets,2.3 - Other Intangible Assets,232000000.0
AMD,2016-12-31,4,2016,2 - Non-Current Assets,2.4 - Other Non-Current Assets,106000000.0
AMD,2016-12-31,4,2016,3 - Current Liabilities,3.1 - Accounts Payable,847000000.0
AMD,2016-12-31,4,2016,3 - Current Liabilities,3.2 - Accrued Liabilities,251000000.0
AMD,2016-12-31,4,2016,3 - Current Liabilities,3.3 - Other Current Liabilities,248000000.0
AMD,2016-12-31,4,2016,4 - Non-Current Liabilities,4.1 - Long-Term Debt,1435000000.0
AMD,2016-12-31,4,2016,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,124000000.0
AMD,2016-12-31,4,2016,5 - Equity,5.1 - Stockholders Equity,416000000.0
AMD,2015-12-31,4,2015,1 - Current Assets,1.1 - Cash & Cash Equivalents,785000000.0
AMD,2015-12-31,4,2015,1 - Current Assets,1.2 - Short Term Investments,0.0
AMD,2015-12-31,4,2015,1 - Current Assets,1.3 - Accounts Receivable,533000000.0
AMD,2015-12-31,4,2015,1 - Current Assets,1.4 - Inventory,678000000.0
AMD,2015-12-31,4,2015,1 - Current Assets,1.5 - Other Current Assets,324000000.0
AMD,2015-12-31,4,2015,2 - Non-Current Assets,2.1 - Net PPE,188000000.0
AMD,2015-12-31,4,2015,2 - Non-Current Assets,2.2 - Goodwill,278000000.0
AMD,2015-12-31,4,2015,2 - Non-Current Assets,2.3 - Other Intangible Assets,189000000.0
AMD,2015-12-31,4,2015,2 - Non-Current Assets,2.4 - Other Non-Current Assets,134000000.0
AMD,2015-12-31,4,2015,3 - Current Liabilities,3.1 - Accounts Payable,574000000.0
AMD,2015-12-31,4,2015,3 - Current Liabilities,3.2 - Accrued Liabilities,327000000.0
AMD,2015-12-31,4,2015,3 - Current Liabilities,3.3 - Other Current Liabilities,502000000.0
AMD,2015-12-31,4,2015,4 - Non-Current Liabilities,4.1 - Long-Term Debt,2032000000.0
AMD,2015-12-31,4,2015,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,86000000.0
AMD,2015-12-31,4,2015,5 - Equity,5.1 - Stockholders Equity,-412000000.0
AMD,2014-12-31,4,2014,1 - Current Assets,1.1 - Cash & Cash Equivalents,805000000.0
AMD,2014-12-31,4,2014,1 - Current Assets,1.2 - Short Term Investments,235000000.0
AMD,2014-12-31,4,2014,1 - Current Assets,1.3 - Accounts Receivable,818000000.0
AMD,2014-12-31,4,2014,1 - Current Assets,1.4 - Inventory,685000000.0
AMD,2014-12-31,4,2014,1 - Current Assets,1.5 - Other Current Assets,193000000.0
AMD,2014-12-31,4,2014,2 - Non-Current Assets,2.1 - Net PPE,302000000.0
AMD,2014-12-31,4,2014,2 - Non-Current Assets,2.2 - Goodwill,320000000.0
AMD,2014-12-31,4,2014,2 - Non-Current Assets,2.3 - Other Intangible Assets,284000000.0
AMD,2014-12-31,4,2014,2 - Non-Current Assets,2.4 - Other Non-Current Assets,125000000.0
AMD,2014-12-31,4,2014,3 - Current Liabilities,3.1 - Accounts Payable,672000000.0
AMD,2014-12-31,4,2014,3 - Current Liabilities,3.2 - Accrued Liabilities,380000000.0
AMD,2014-12-31,4,2014,3 - Current Liabilities,3.3 - Other Current Liabilities,388000000.0
AMD,2014-12-31,4,2014,4 - Non-Current Liabilities,4.1 - Long-Term Debt,2035000000.0
AMD,2014-12-31,4,2014,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,105000000.0
AMD,2014-12-31,4,2014,5 - Equity,5.1 - Stockholders Equity,187000000.0
AMD,2013-12-31,4,2013,1 - Current Assets,1.1 - Cash & Cash Equivalents,869000000.0
AMD,2013-12-31,4,2013,1 - Current Assets,1.2 - Short Term Investments,228000000.0
AMD,2013-12-31,4,2013,1 - Current Assets,1.3 - Accounts Receivable,832000000.0
AMD,2013-12-31,4,2013,1 - Current Assets,1.4 - Inventory,884000000.0
AMD,2013-12-31,4,2013,1 - Current Assets,1.5 - Other Current Assets,71000000.0
AMD,2013-12-31,4,2013,2 - Non-Current Assets,2.1 - Net PPE,346000000.0
