company,statementDate,quarter,year,accountClassification,account,amount
AMD,2019-03-31,1,2019,3 - Other Income/Expenses,3.2 - Net Other Expenses,-7000000.0
AMD,2019-03-31,1,2019,4 - Taxes,4.1 - Taxes,-12000000.0
AMD,2018-12-31,4,2018,1 - Gross Profit,1.1 - Revenue,1419000000.0
AMD,2018-12-31,4,2018,1 - Gross Profit,1.2 - COGS,-882000000.0
AMD,2018-12-31,4,2018,2 - Operating Expenses,2.1 - SG&A,-138000000.0
AMD,2018-12-31,4,2018,2 - Operating Expenses,2.2 - R&D,-371000000.0
AMD,2018-12-31,4,2018,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2018-12-31,4,2018,3 - Other Income/Expenses,3.1 - Net Interest Expense,-11000000.0
AMD,2018-12-31,4,2018,3 - Other Income/Expenses,3.2 - Net Other Expenses,-14000000.0
AMD,2018-12-31,4,2018,4 - Taxes,4.1 - Taxes,-35000000.0
AMD,2018-09-30,3,2018,1 - Gross Profit,1.1 - Revenue,1653000000.0
AMD,2018-09-30,3,2018,1 - Gross Profit,1.2 - COGS,-992000000.0
AMD,2018-09-30,3,2018,2 - Operating Expenses,2.1 - SG&A,-148000000.0
AMD,2018-09-30,3,2018,2 - Operating Expenses,2.2 - R&D,-363000000.0
AMD,2018-09-30,3,2018,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2018-09-30,3,2018,3 - Other Income/Expenses,3.1 - Net Interest Expense,-30000000.0
AMD,2018-09-30,3,2018,3 - Other Income/Expenses,3.2 - Net Other Expenses,-6000000.0
AMD,2018-09-30,3,2018,4 - Taxes,4.1 - Taxes,12000000.0
AMD,2018-06-30,2,2018,1 - Gross Profit,1.1 - Revenue,1756000000.0
AMD,2018-06-30,2,2018,1 - Gross Profit,1.2 - COGS,-1104000000.0
AMD,2018-06-30,2,2018,2 - Operating Expenses,2.1 - SG&A,-142000000.0
AMD,2018-06-30,2,2018,2 - Operating Expenses,2.2 - R&D,-357000000.0
AMD,2018-06-30,2,2018,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2018-06-30,2,2018,3 - Other Income/Expenses,3.1 - Net Interest Expense,-31000000.0
AMD,2018-06-30,2,2018,3 - Other Income/Expenses,3.2 - Net Other Expenses,1000000.0
AMD,2018-06-30,2,2018,4 - Taxes,4.1 - Taxes,7000000.0
AMD,2018-03-31,1,2018,1 - Gross Profit,1.1 - Revenue,1647000000.0
AMD,2018-03-31,1,2018,1 - Gross Profit,1.2 - COGS,-1050000000.0
