name,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,03/31/1989
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,,,,,,,,,,"7,529,000","7,366,000","7,207,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"39,069,000","35,984,000","35,054,000","36,556,000","38,028,000","40,618,000","42,286,000","42,344,000","44,455,000","39,274,000","40,159,000","34,104,000","34,954,000","33,842,000","34,990,000","35,937,000","38,048,000","39,638,000","39,988,000","41,226,000","38,353,000","36,598,000","24,316,000","26,024,000","8,809,000","7,173,000","7,195,000","3,264,000","3,588,000","5,011,000","5,222,000","18,101,000","18,116,000",,,,,,,,,,,,,,,,,,,,,,"5,814,000","5,639,000","15,488,000","15,206,000","18,168,000","17,770,000","20,386,000","24,903,000","27,134,000","27,347,000","26,755,000","27,056,000","23,090,000","22,699,000","22,415,000","22,053,000","25,704,000","26,335,000","26,345,000","15,271,000","15,879,000","16,295,000","15,101,000","17,848,000","14,737,000","15,842,000","15,525,000","14,408,000","13,439,000","13,699,000","11,700,000","1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,"-100,000",,"-100,000","-100,000","-100,000","100,000","-100,000","100,000"
TotalEquityGrossMinorityInterest,"384,427,000","376,893,000","364,130,000","342,959,000","327,659,000","309,645,000","295,177,000","281,155,000","258,457,000","261,126,000","230,620,000","245,672,000","217,693,000","218,292,000","258,765,000","267,495,000","270,430,000","273,674,000","281,407,000","291,168,000","305,520,000","338,535,000","359,422,000","388,952,000","440,975,000","434,429,000","422,550,000","404,743,000","385,680,000","379,702,000","367,175,000","360,016,000","357,550,000","366,952,000","372,199,000","388,118,000","393,561,000","351,973,000","341,359,000","328,119,000","318,722,000","304,324,000","285,698,000","265,477,000","253,360,000","246,735,000","249,561,000","251,152,000","254,939,000","268,114,000","273,125,000","276,643,000","286,232,000","515,196,000","518,026,000","516,864,000","509,572,000","506,984,000","504,473,000","501,025,000","498,084,000","518,294,000","525,839,000","530,202,000","542,591,000","552,286,000","562,776,000","590,037,000","606,112,000","632,255,000","631,761,000","641,308,000","661,135,000","791,221,000","800,771,000","821,735,000","839,770,000","828,213,000","875,867,000","883,511,000","855,655,000","861,669,000","634,239,000","619,340,000","465,200,000","459,800,000","483,700,000","463,400,000","452,200,000","447,500,000","434,700,000","418,900,000","403,500,000","380,100,000","360,500,000","342,300,000","323,500,000","311,600,000","298,800,000","284,800,000","186,000,000","171,900,000","157,800,000","147,200,000","140,000,000","132,000,000","125,100,000","118,200,000","112,800,000","105,400,000","98,500,000","91,000,000","84,800,000","79,300,000","75,600,000","71,900,000","68,700,000","65,700,000","63,200,000","61,100,000","58,900,000","32,900,000","29,900,000","27,200,000","9,900,000"
	StockholdersEquity,"384,427,000","376,893,000","364,130,000","342,959,000","327,659,000","309,645,000","295,177,000","281,155,000","258,457,000","261,126,000","230,620,000","245,672,000","217,693,000","218,292,000","258,765,000","267,495,000","270,430,000","273,674,000","281,407,000","291,168,000","305,520,000","338,535,000","359,422,000","388,952,000","440,975,000","434,429,000","422,550,000","404,743,000","385,680,000","379,702,000","367,175,000","360,016,000","357,550,000","366,952,000","372,199,000","388,118,000","393,561,000","351,973,000","341,359,000","328,119,000","318,722,000","304,324,000","285,698,000","265,477,000","253,360,000","246,735,000","249,561,000","251,152,000","254,939,000","268,114,000","273,125,000","276,643,000","286,232,000","515,196,000","518,026,000","516,864,000","509,572,000","506,984,000","504,473,000","501,025,000","498,084,000","518,294,000","525,839,000","530,202,000","542,591,000","552,286,000","562,776,000","590,037,000","606,112,000","632,255,000","631,761,000","641,308,000","661,135,000","791,221,000","800,771,000","821,735,000","839,770,000","828,213,000","875,867,000","883,511,000","855,655,000","861,669,000","634,239,000","619,340,000","465,200,000","459,800,000","483,700,000","463,400,000","452,200,000","447,500,000","434,700,000","418,900,000","403,500,000","380,100,000","360,500,000","342,300,000","323,500,000","311,600,000","298,800,000","284,800,000","186,000,000","171,900,000","157,800,000","147,200,000","140,000,000","132,000,000","125,100,000","118,200,000","112,800,000","105,400,000","98,500,000","91,000,000","84,800,000","79,300,000","75,600,000","71,900,000","68,700,000","65,700,000","63,200,000","61,100,000","58,900,000","32,900,000","29,900,000","27,200,000","9,900,000"
		CapitalStock,,"1,361,000","1,351,000","1,345,000","1,339,000","1,335,000","1,325,000","1,319,000","1,297,000","1,293,000","1,256,000","1,243,000","1,239,000","1,231,000","1,227,000","1,220,000","1,216,000","1,210,000","1,200,000","1,191,000","1,187,000","1,180,000","1,176,000","1,169,000","1,173,000","1,189,000","1,184,000","1,173,000","1,157,000","1,163,000","1,158,000","1,155,000","1,155,000","1,161,000","1,174,000","1,182,000","1,177,000","1,175,000","1,181,000","1,179,000","1,179,000","1,178,000","1,167,000","1,157,000","1,156,000","1,156,000","1,156,000","1,155,000","1,155,000","1,154,000","1,152,000","1,152,000","1,151,000","1,151,000","1,150,000","1,148,000","1,145,000","1,145,000","1,143,000","1,141,000","1,136,000","1,136,000","1,136,000","1,136,000","1,136,000","1,134,000","1,134,000","1,131,000","1,130,000","1,128,000","1,125,000","1,125,000","1,124,000","1,123,000","1,097,000","1,097,000","1,094,000","1,093,000","1,088,000","1,082,000","1,075,000","1,074,000","494,000","492,000","500,000","200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStock,,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,,"1,361,000","1,351,000","1,345,000","1,339,000","1,335,000","1,325,000","1,319,000","1,297,000","1,293,000","1,256,000","1,243,000","1,239,000","1,231,000","1,227,000","1,220,000","1,216,000","1,210,000","1,200,000","1,191,000","1,187,000","1,180,000","1,176,000","1,169,000","1,173,000","1,189,000","1,184,000","1,173,000","1,157,000","1,163,000","1,158,000","1,155,000","1,155,000","1,161,000","1,174,000","1,182,000","1,177,000","1,175,000","1,181,000","1,179,000","1,179,000","1,178,000","1,167,000","1,157,000","1,156,000","1,156,000","1,156,000","1,155,000","1,155,000","1,154,000","1,152,000","1,152,000","1,151,000","1,151,000","1,150,000","1,148,000","1,145,000","1,145,000","1,143,000","1,141,000","1,136,000","1,136,000","1,136,000","1,136,000","1,136,000","1,134,000","1,134,000","1,131,000","1,130,000","1,128,000","1,125,000","1,125,000","1,124,000","1,123,000","1,097,000","1,097,000","1,094,000","1,093,000","1,088,000","1,082,000","1,075,000","1,074,000","494,000","492,000","500,000","200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,,"779,630,000","779,836,000","769,451,000","762,213,000","757,936,000","756,924,000","751,506,000","736,274,000","732,073,000","707,991,000","701,713,000","695,768,000","690,367,000","688,259,000","684,605,000","680,315,000","674,643,000","669,773,000","665,233,000","660,089,000","647,229,000","642,640,000","637,906,000","635,299,000","644,867,000","640,329,000","634,160,000","626,861,000","627,756,000","624,222,000","621,986,000","621,170,000","623,292,000","626,375,000","629,813,000","627,637,000","626,354,000","629,064,000","628,711,000","630,184,000","630,012,000","626,842,000","623,745,000","622,584,000","621,019,000","620,065,000","619,022,000","617,572,000","616,430,000","614,384,000","612,893,000","611,508,000","610,123,000","608,365,000","605,833,000","603,273,000","601,979,000","600,024,000","597,335,000","595,175,000","590,259,000","590,258,000","590,258,000","590,270,000","589,420,000","589,458,000","587,598,000","586,834,000","584,635,000","581,519,000","581,767,000","580,987,000","580,811,000","557,685,000","557,682,000","548,053,000","545,846,000","538,767,000","535,331,000","522,492,000","523,491,000","303,575,000","297,290,000","260,700,000","250,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,,"-401,887,000","-414,494,000","-425,123,000","-433,290,000","-447,277,000","-460,816,000","-469,375,000","-476,783,000","-469,662,000","-476,636,000","-456,413,000","-477,862,000","-470,649,000","-427,597,000","-414,575,000","-406,945,000","-398,781,000","-386,367,000","-372,557,000","-352,846,000","-307,392,000","-282,531,000","-246,960,000","-193,613,000","-209,032,000","-218,438,000","-230,209,000","-242,193,000","-248,740,000","-257,584,000","-262,624,000","-264,514,000","-257,339,000","-255,164,000","-242,622,000","-234,908,000","-275,853,000","-289,190,000","-302,221,000","-313,140,000","-327,019,000","-342,387,000","-359,123,000","-370,212,000","-375,838,000","-371,724,000","-369,005,000","-363,255,000","-348,852,000","-341,874,000","-328,303,000","-325,049,000","-95,524,000","-91,077,000","-89,616,000","-94,616,000","-95,553,000","-96,450,000","-98,516,000","-97,709,000","-74,719,000","-67,634,000","-59,475,000","-48,590,000","-35,452,000","-29,128,000","-13,152,000","3,389,000","37,548,000","59,435,000","76,360,000","95,195,000","222,295,000","236,666,000","244,813,000","270,430,000","282,947,000","387,548,000","391,225,000","379,949,000","356,326,000","333,625,000","316,883,000","204,100,000","209,000,000","260,200,000","248,400,000","237,800,000","228,000,000","218,200,000","204,300,000","190,700,000","175,800,000","161,600,000","379,600,000","137,500,000","127,000,000","116,600,000","104,500,000","93,400,000","83,700,000","74,800,000","67,100,000","60,300,000","53,800,000","47,800,000","42,200,000","37,100,000","31,000,000","25,400,000","20,100,000","15,400,000","11,400,000","8,000,000","4,900,000","2,200,000","-600,000","-2,900,000","-5,000,000","-7,000,000","-10,300,000","-13,200,000","-15,900,000","-20,000,000"
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,,,"1,384,000",,"1,700,000",,,,,,,,,,,,,,,,"0","0","326,000","326,000","329,000","329,000","324,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
