name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,03/31/1987,03/31/1986
			GrossPPE,"1,761,000,000","1,473,000,000","1,055,000,000","1,001,000,000","881,000,000","984,000,000","1,680,000,000","1,733,000,000","2,218,000,000","2,196,000,000","2,079,000,000","7,495,000,000","7,158,000,000","7,888,000,000","7,337,000,000","5,487,605,000","11,037,583,000","10,072,394,000","7,039,663,000","6,126,278,000","5,461,801,000","4,938,302,000","4,380,362,000","3,799,051,000","3,326,768,000","2,930,973,000","2,464,929,000","1,998,363,000","1,684,400,000","1,530,600,000","1,449,300,000","1,261,900,000","1,247,800,000","1,142,800,000","831,700,000","783,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,,,,,,,
				LandAndImprovements,,,,,,"1,000,000","4,000,000","3,000,000","31,000,000","31,000,000","31,000,000","58,000,000","50,000,000","49,000,000","53,000,000","28,814,000","64,401,000","61,002,000","34,443,000","33,207,000","33,094,000","35,872,000","36,273,000","29,421,000","32,244,000","28,851,000",,"26,272,000",,,,,,,,
				BuildingsAndImprovements,,,,,,"145,000,000","246,000,000","246,000,000","591,000,000","544,000,000","540,000,000","2,015,000,000","1,927,000,000","1,037,000,000","1,410,000,000","1,027,822,000","2,462,965,000","2,277,947,000","1,392,972,000","1,461,228,000","1,420,313,000","1,187,712,000","823,287,000","1,012,680,000","938,573,000","893,321,000",,"444,299,000",,,,,,,,
				MachineryFurnitureEquipment,"1,209,000,000","951,000,000","798,000,000","758,000,000","714,000,000","821,000,000","1,416,000,000","1,466,000,000","1,585,000,000","1,507,000,000","1,479,000,000","5,023,000,000","4,896,000,000","6,125,000,000","5,202,000,000","3,309,869,000","7,920,517,000","7,581,241,000","5,256,502,000","4,162,652,000","3,563,125,000","2,851,315,000","2,776,336,000","2,295,498,000","1,963,808,000","1,828,059,000",,"1,335,251,000",,,,,,,,
				OtherProperties,"208,000,000","205,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"136,000,000","114,000,000","78,000,000","56,000,000","19,000,000","17,000,000","14,000,000","18,000,000","11,000,000","114,000,000","29,000,000","399,000,000","285,000,000","677,000,000","672,000,000","1,121,100,000","589,700,000","152,204,000","355,746,000","469,191,000","445,269,000","863,403,000","744,466,000","461,452,000","392,143,000","180,742,000",,"192,541,000",,,,,,,,
				Leases,"208,000,000","203,000,000","179,000,000","187,000,000","148,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-912,000,000","-768,000,000","-707,000,000","-740,000,000","-717,000,000","-796,000,000","-1,378,000,000","-1,387,000,000","-1,560,000,000","-1,470,000,000","-1,379,000,000","-3,686,000,000","-2,862,000,000","-3,168,000,000","-3,350,000,000","-2,786,605,000","-6,803,776,000","-6,223,902,000","-4,158,854,000","-3,387,140,000","-2,825,334,000","-2,415,066,000","-2,111,894,000","-1,808,362,000","-1,539,366,000","-1,294,881,000","-1,200,718,000","-1,094,037,000","-991,100,000","-904,300,000","-802,300,000","-756,000,000","-752,300,000","-618,500,000","-417,100,000","-297,100,000"
		GoodwillAndOtherIntangibleAssets,"518,000,000","499,000,000","515,000,000","528,000,000","521,000,000","467,000,000","604,000,000","911,000,000","649,000,000","323,000,000","360,000,000","421,000,000","491,000,000","2,494,000,000","4,424,000,000",,,,,,,,,,,,,,,,,,,,,
			Goodwill,"289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","278,000,000","320,000,000","553,000,000","553,000,000","323,000,000","323,000,000","323,000,000","323,000,000","1,907,000,000","3,217,000,000",,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"229,000,000","210,000,000","226,000,000","239,000,000","232,000,000","189,000,000","284,000,000","358,000,000","96,000,000",,"37,000,000","98,000,000","168,000,000","587,000,000","1,207,000,000",,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"63,000,000","58,000,000","58,000,000","58,000,000","59,000,000",,"0","90,000,000","181,000,000","427,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"63,000,000","58,000,000","58,000,000","58,000,000","59,000,000",,,,"0","278,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,,,,,,,"0","90,000,000","181,000,000","149,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"1,245,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
