name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989
DilutedAverageShares,,"141,276,000","137,274,000","126,564,000","122,677,000","119,994,000","117,387,000","120,245,000","117,081,000","117,194,000","121,139,000","120,143,000","115,384,000","115,291,000","114,915,000","115,019,000","113,525,000","112,976,000","111,794,000","110,193,000","108,814,000","120,321,000",,"94,388,000","93,712,000","91,512,000","88,492,000","75,560,000","73,644,000","71,668,000","68,076,000","66,560,000","57,348,000","264,000,000"
TotalOperatingIncomeAsReported,"52,366,000","52,366,000","59,041,000","-3,120,000","-47,620,000","-26,699,000","-107,232,000","41,616,000","26,786,000","-9,366,000","41,289,000","55,129,000","-8,252,000","-20,235,000","-251,670,000","-12,803,000","-65,965,000","-63,034,000","-94,596,000","-99,563,000","-25,227,000","109,917,000",,"51,600,000","75,100,000","59,000,000","57,900,000","37,300,000","30,000,000","22,700,000","13,300,000","12,100,000","6,500,000","2,000,000"
TotalExpenses,"351,817,000","351,817,000","340,388,000","370,553,000","394,797,000","430,315,000","449,854,000","321,546,000","302,391,000","278,426,000","270,462,000","242,628,000","198,983,000","242,497,000","478,007,000","257,951,000","265,089,000","288,866,000","304,258,000","298,836,000","320,553,000","457,842,000",,"148,500,000","170,800,000","145,100,000","140,300,000","106,800,000","96,200,000","80,700,000","57,700,000","52,400,000","32,400,000","19,500,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"47,392,000","47,392,000","43,493,000","-26,322,000","-70,562,000","-54,099,000","-159,233,000","48,580,000","22,321,000","-29,606,000","78,232,000","57,072,000","-6,957,000","-38,206,000","-239,816,000","3,093,000","-49,119,000","-51,979,000","-91,806,000","-175,235,000","-109,519,000","167,887,000",,"42,000,000","56,600,000","45,000,000","41,800,000","27,000,000","22,500,000","17,400,000","10,900,000","10,300,000","6,800,000","2,200,000"
NormalizedIncome,"51,242,551.098","51,242,551.098","47,970,440","-3,424,820","-47,291,600","-40,036,200","-121,226,600","50,359,000","25,133,320","-23,306,850","82,341,950","54,631,704.599","-5,736,950","-19,627,050","-96,092,550","302,738.187","-47,124,000","-56,167,000","-92,220,565.288","-165,389,000","-13,507,465.045","71,820,153.535",,"34,774,919.614","49,599,299.883","39,217,134.417","38,234,123.223","22,621,621.622","20,567,484.663","15,742,857.143","9,106,329.114","8,113,013.699","5,855,555.556","1,960,000"
InterestIncome,,,,,,,,,,,"1,142,000",,,,,,,,,,,"16,202,000",,,,,,,,,,,,
InterestExpense,"3,702,000","3,702,000","11,731,000","20,600,000","18,807,000","20,327,000","18,389,000",,,,,,,,,,,,,,,"14,036,000",,,,,,,,,,,,
NetInterestIncome,"-3,702,000","-3,702,000","-11,731,000","-20,600,000","-18,807,000","-20,327,000","-18,389,000",,,,"1,142,000",,,,,,,,,,,"2,166,000",,,,,,,,,,,,
EBIT,"52,158,000","52,158,000","56,796,000","-3,369,000","-50,906,000","-22,396,000","-108,064,000","44,581,000","30,134,000","830,000","47,904,000","55,140,000","-4,563,000","-20,235,000","-249,298,000","-12,492,000","-54,029,000","-63,034,000","-94,596,000","-69,710,000","-25,227,000","276,107,000",,"51,600,000","75,100,000","59,000,000","57,900,000","37,300,000","30,000,000","22,700,000","13,300,000","12,100,000","6,500,000","2,000,000"
EBITDA,"77,298,000"
ReconciledCostOfRevenue,"142,123,000","142,123,000","146,173,000","157,789,000","142,861,000","152,389,000","154,829,000","159,940,000","154,281,000","128,499,000","129,769,000","103,451,000","76,095,000","86,485,000","86,032,000","89,786,000","78,642,000","75,330,000","66,491,000","70,586,000","89,308,000","197,490,000",,"68,400,000","89,300,000","75,100,000","75,100,000","52,900,000","47,500,000","39,000,000","28,200,000","27,100,000","16,000,000","9,300,000"
ReconciledDepreciation,"25,140,000","25,140,000","33,056,000","39,261,000","57,861,000","61,806,000","60,808,000","22,248,000","20,807,000","22,149,000","16,666,000","14,492,000","14,210,000","21,933,000","26,957,000","27,747,000","33,494,000","68,776,000","99,902,000","94,375,000","106,539,000","102,213,000",,"10,100,000","9,600,000","8,600,000","7,100,000","6,000,000","5,800,000","4,700,000","2,800,000","2,800,000","1,900,000","1,500,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"47,392,000","47,392,000","43,493,000","-26,322,000","-70,562,000","-54,099,000","-159,233,000","48,580,000","22,321,000","-29,606,000","78,232,000","57,072,000","-6,957,000","-38,206,000","-239,816,000","3,093,000","-49,119,000","-51,979,000","-91,806,000","-175,235,000","-109,519,000","167,887,000",,"42,000,000","56,600,000","45,000,000","41,800,000","27,000,000","22,500,000","17,400,000","10,900,000","10,300,000","6,800,000","2,200,000"
TotalUnusualItemsExcludingGoodwill,"-3,937,000","-3,937,000","-4,664,000","-31,366,000","-38,784,000","-23,438,000","-63,344,000","-2,965,000","-3,348,000","-9,691,000","-6,323,000","2,463,000","-1,877,000","-28,583,000","-221,113,000","3,742,000","-3,325,000","6,980,000","441,000","-16,410,000","-152,510,000","149,960,000",,"10,700,000","10,600,000","8,700,000","5,400,000","6,600,000","2,800,000","2,400,000","2,600,000","3,100,000","1,000,000","400,000"
TotalUnusualItems,"-3,937,000","-3,937,000","-4,664,000","-31,366,000","-38,784,000","-23,438,000","-63,344,000","-2,965,000","-3,348,000","-9,691,000","-6,323,000","2,463,000","-1,877,000","-28,583,000","-221,113,000","3,742,000","-3,325,000","6,980,000","441,000","-16,410,000","-152,510,000","149,960,000",,"10,700,000","10,600,000","8,700,000","5,400,000","6,600,000","2,800,000","2,400,000","2,600,000","3,100,000","1,000,000","400,000"
NormalizedEBITDA,"81,235,000","81,235,000","94,516,000","67,258,000","45,739,000","62,848,000","16,088,000","69,794,000","54,289,000","32,670,000","70,893,000","67,169,000","11,524,000","30,281,000","-1,228,000","11,513,000","-17,210,000","-1,238,000","4,865,000","41,075,000","233,822,000","228,360,000",,"51,000,000","74,100,000","58,900,000","59,600,000","36,700,000","33,000,000","25,000,000","13,500,000","11,800,000","7,400,000","3,100,000"
TaxRateForCalcs,"0.022","0.022","0.04","0.27","0.4","0.4","0.4","0.4","0.16","0.35","0.35","0.009","0.35","0.35","0.35","0.254","0.4","0.4","0.06","0.4","0.37","0.359",,"0.325","0.34","0.335","0.34","0.337","0.31","0.31","0.31","0.295","0.056","0.4"
TaxEffectOfUnusualItems,"-86,448.902","-86,448.902","-186,560","-8,468,820","-15,513,600","-9,375,200","-25,337,600","-1,186,000","-535,680","-3,391,850","-2,213,050","22,704.599","-656,950","-10,004,050","-77,389,550","951,738.187","-1,330,000","2,792,000","26,434.712","-6,564,000","-56,498,465.045","53,893,153.535",,"3,474,919.614","3,599,299.883","2,917,134.417","1,834,123.223","2,221,621.622","867,484.663","742,857.143","806,329.114","913,013.699","55,555.556","160,000"
