Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.000000,2.762500,2.000000,2.400000,2.353591,32174000
1985-02-01,0.000000,2.450000,1.000000,1.162500,1.140021,45575000
1985-03-01,0.000000,1.375000,1.000000,1.150000,1.127762,30358000
1985-04-01,0.000000,1.450000,1.025000,1.075000,1.054213,60159000
1985-05-01,0.000000,1.075000,0.775000,0.825000,0.809047,31727000
1985-06-01,0.000000,0.925000,0.587500,0.887500,0.870338,38081000
1985-07-01,0.000000,1.037500,0.737500,0.800000,0.784530,21677000
1985-08-01,0.000000,0.950000,0.712500,0.737500,0.723239,18625000
1985-09-01,0.000000,0.812500,0.662500,0.700000,0.686464,15811000
1985-10-01,0.000000,0.712500,0.387500,0.450000,0.441298,45070000
1985-11-01,0.000000,0.900000,0.450000,0.887500,0.870338,46762000
1985-12-01,0.000000,0.987500,0.712500,0.850000,0.833564,60801000
1986-01-01,0.000000,1.200000,0.775000,1.175000,1.152279,59448000
1986-02-01,0.000000,1.175000,0.975000,1.150000,1.127762,60754000
1986-03-01,0.000000,1.375000,1.025000,1.187500,1.164537,54350000
1986-04-01,0.000000,1.712500,1.112500,1.450000,1.421961,71257000
1986-05-01,0.000000,1.562500,1.125000,1.250000,1.225829,49001000
1986-06-01,0.000000,1.262500,0.762500,0.937500,0.919372,54272000
1986-07-01,0.000000,0.975000,0.650000,0.800000,0.784530,32713000
1986-08-01,0.000000,1.037500,0.600000,1.012500,0.992921,74887000
1986-09-01,0.000000,1.037500,0.750000,0.875000,0.858080,40975000
1986-10-01,0.000000,0.900000,0.687500,0.712500,0.698722,25208000
1986-11-01,0.000000,0.762500,0.387500,0.487500,0.478073,55066000
1986-12-01,0.000000,0.487500,0.337500,0.450000,0.441298,40113000
1987-01-01,0.000000,0.612500,0.400000,0.562500,0.551623,41221000
1987-02-01,0.000000,0.737500,0.550000,0.675000,0.661947,38562000
1987-03-01,0.000000,0.800000,0.575000,0.775000,0.760014,73866000
1987-04-01,0.000000,1.062500,0.750000,1.037500,1.017438,103693000
1987-05-01,0.000000,1.300000,1.000000,1.250000,1.225829,62559000
1987-06-01,0.000000,1.387500,1.050000,1.087500,1.066471,75772000
1987-07-01,0.000000,1.350000,1.025000,1.200000,1.176796,47548000
1987-08-01,0.000000,1.300000,1.100000,1.200000,1.176796,34210000
1987-09-01,0.000000,1.450000,1.087500,1.350000,1.323895,74603000
1987-10-01,0.000000,1.612500,0.537500,0.862500,0.845822,111160000
1987-11-01,0.000000,0.937500,0.687500,0.825000,0.809047,52452000
1987-12-01,0.000000,1.537500,0.775000,1.475000,1.446478,90156000
1988-01-01,0.000000,1.575000,1.237500,1.412500,1.385186,89857000
1988-02-01,0.000000,1.975000,1.200000,1.925000,1.887776,112156000
1988-03-01,0.000000,2.237500,1.700000,1.787500,1.752935,188742000
1988-04-01,0.000000,2.112500,1.762500,2.012500,1.973584,112139000
1988-05-01,0.000000,2.325000,1.987500,2.137500,2.096167,158813000
1988-06-01,0.000000,2.600000,2.137500,2.212500,2.169717,223866000
1988-07-01,0.000000,2.437500,1.700000,1.937500,1.900035,219481000
1988-08-01,0.000000,1.987500,1.462500,1.712500,1.679385,154352000
1988-09-01,0.000000,2.187500,1.612500,2.100000,2.059392,169965000
1988-10-01,0.000000,2.187500,1.825000,1.900000,1.863260,191542000
1988-11-01,0.000000,1.925000,1.450000,1.550000,1.520028,121116000
1988-12-01,0.000000,1.675000,1.450000,1.575000,1.544544,109196000
1989-01-01,0.000000,1.825000,1.462500,1.812500,1.777452,99847000
1989-02-01,0.000000,2.037500,1.725000,1.950000,1.912293,97420000
1989-03-01,0.000000,1.975000,1.725000,1.937500,1.900035,68014000
1989-04-01,0.000000,2.125000,1.762500,2.125000,2.083909,83850000
1989-05-01,0.000000,2.537500,2.100000,2.450000,2.402625,180392000
1989-06-01,2.450000,2.575000,1.750000,1.850000,1.814226,124155000
1989-07-01,1.850000,1.900000,1.312500,1.337500,1.311637,134216000
1989-08-01,1.350000,1.650000,1.262500,1.437500,1.409703,107725000
1989-09-01,1.437500,1.537500,1.237500,1.300000,1.274862,101338000
1989-10-01,1.275000,1.312500,0.975000,1.050000,1.029696,68563000
1989-11-01,1.050000,1.300000,0.962500,1.000000,0.980663,83067000
1989-12-01,1.000000,1.075000,0.925000,0.975000,0.956146,76729000
1990-01-01,0.962500,1.037500,0.700000,0.775000,0.760014,54213000
1990-02-01,0.787500,1.337500,0.762500,1.212500,1.189054,67723000
1990-03-01,1.187500,1.350000,1.162500,1.225000,1.201312,66517000
1990-04-01,1.200000,1.250000,1.100000,1.225000,1.201312,44631000
1990-05-01,1.225000,1.637500,1.212500,1.350000,1.323895,164294000
1990-06-01,1.362500,1.450000,1.175000,1.325000,1.299378,79376000
1990-07-01,1.325000,1.437500,1.037500,1.125000,1.103246,53171000
1990-08-01,1.150000,1.162500,0.762500,0.900000,0.882597,54945000
1990-09-01,0.900000,0.937500,0.700000,0.825000,0.809047,34384000
1990-10-01,0.837500,0.850000,0.687500,0.787500,0.772272,30680000
1990-11-01,0.775000,1.037500,0.675000,0.987500,0.968405,56140000
1990-12-01,1.000000,1.200000,0.900000,1.012500,0.992921,31970000
1991-01-01,1.000000,1.275000,0.950000,1.237500,1.213570,54664000
1991-02-01,1.212500,1.562500,1.137500,1.550000,1.520028,56977000
1991-03-01,1.537500,1.737500,1.450000,1.625000,1.593577,104811000
1991-04-01,1.587500,1.912500,1.375000,1.475000,1.446478,136186000
1991-05-01,1.450000,1.662500,1.325000,1.662500,1.630352,56818000
1991-06-01,1.650000,1.725000,1.162500,1.175000,1.152279,77813000
1991-07-01,1.225000,1.312500,1.087500,1.237500,1.213570,53700000
1991-08-01,1.250000,1.462500,1.112500,1.412500,1.385186,45720000
1991-09-01,1.412500,1.587500,1.312500,1.450000,1.421961,67453000
1991-10-01,1.450000,1.837500,1.362500,1.750000,1.716160,103501000
1991-11-01,1.750000,1.750000,1.250000,1.325000,1.299378,86395000
1991-12-01,1.312500,1.487500,1.212500,1.412500,1.390694,55181000
1992-01-01,1.412500,1.887500,1.412500,1.862500,1.833747,106236000
1992-02-01,1.862500,2.237500,1.850000,1.950000,1.919896,111748000
1992-03-01,1.925000,1.987500,1.512500,1.550000,1.526071,84266000
1992-04-01,1.550000,1.575000,1.287500,1.437500,1.415308,50322000
1992-05-01,1.412500,1.512500,1.350000,1.487500,1.464536,28411000
1992-06-01,1.500000,1.600000,1.312500,1.425000,1.403001,45402000
1992-07-01,1.437500,1.675000,1.362500,1.625000,1.599914,25873000
1992-08-01,1.562500,1.637500,1.487500,1.525000,1.501457,24088000
1992-09-01,1.525000,1.637500,1.437500,1.625000,1.599914,34472000
1992-10-01,1.625000,2.000000,1.562500,1.937500,1.907589,61161000
1992-11-01,1.937500,2.225000,1.775000,1.875000,1.846054,64655000
1992-12-01,1.887500,1.975000,1.625000,1.887500,1.863364,42487000
1993-01-01,1.900000,2.362500,1.812500,2.212500,2.184208,82443000
1993-02-01,2.250000,2.600000,2.162500,2.450000,2.418671,64622000
1993-03-01,2.450000,2.850000,2.237500,2.362500,2.332290,64466000
1993-04-01,2.350000,2.350000,1.925000,2.300000,2.270589,70677000
1993-05-01,2.312500,3.037500,2.300000,2.975000,2.936957,56264000
1993-06-01,2.975000,3.762500,2.937500,3.712500,3.665026,98051000
1993-07-01,3.700000,4.625000,3.687500,4.487500,4.430116,137635000
1993-08-01,4.537500,5.650000,4.500000,5.337500,5.269246,160530000
1993-09-01,5.325000,6.362500,4.925000,5.462500,5.392648,202247000
1993-10-01,5.462500,5.575000,4.300000,4.750000,4.689259,288022000
1993-11-01,4.787500,4.862500,3.787500,4.625000,4.565858,199916000
1993-12-01,4.700000,4.962500,4.362500,4.650000,4.595630,138438000
1994-01-01,4.650000,5.937500,4.462500,5.837500,5.769246,157565000
1994-02-01,5.875000,7.187500,5.687500,7.087500,7.004630,124156000
1994-03-01,7.200000,9.550000,6.987500,8.325000,8.227661,275699000
1994-04-01,8.225000,9.975000,7.437500,9.125000,9.018306,199992400
1994-05-01,9.187500,9.562500,7.062500,8.437500,8.350525,106780000
1994-06-01,8.562500,9.218750,7.656250,8.656250,8.567019,145895600
1994-07-01,8.718750,10.125000,8.343750,9.343750,9.247431,102880400
1994-08-01,9.375000,11.218750,9.031250,10.062500,9.972343,134703200
1994-09-01,9.812500,10.593750,8.406250,8.625000,8.547721,220585600
1994-10-01,8.625000,10.125000,7.625000,10.000000,9.923415,214760400
1994-11-01,9.937500,10.812500,9.500000,10.500000,10.419586,127032400
1994-12-01,10.312500,11.468750,9.968750,11.031250,10.946769,138728400
1995-01-01,10.968750,11.875000,10.625000,11.062500,10.990196,133662400
1995-02-01,11.031250,15.531250,10.937500,15.500000,15.398694,182719200
1995-03-01,15.593750,21.281250,15.562500,19.031250,18.906864,284030400
1995-04-01,19.093750,20.875000,17.750000,20.625000,20.516331,176317200
1995-05-01,20.562500,25.375000,20.000000,22.312500,22.194941,220418200
1995-06-01,22.562500,29.625000,22.375000,27.500000,27.384794,178748000
1995-07-01,27.437500,32.375000,25.937500,31.187500,31.056847,169822200
1995-08-01,31.187500,39.000000,27.625000,38.437500,38.276474,199491600
1995-09-01,38.312500,47.375000,36.437500,39.687500,39.554691,252656600
1995-10-01,39.750000,40.312500,30.000000,35.250000,35.132038,285762200
1995-11-01,35.250000,35.312500,23.312500,27.125000,27.034229,368124200
1995-12-01,27.375000,27.875000,19.437500,19.812500,19.762365,244487200
1996-01-01,20.562500,21.000000,14.875000,17.125000,17.101379,339716200
1996-02-01,16.937500,22.000000,15.562500,16.000000,15.977931,335973400
1996-03-01,16.187500,17.750000,13.750000,15.812500,15.790689,251728400
1996-04-01,15.750000,19.875000,14.937500,18.187500,18.162415,208715200
1996-05-01,18.250000,19.312500,15.000000,16.062500,16.040344,197377800
1996-06-01,15.937500,16.062500,12.375000,12.937500,12.937500,144950600
