name,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,12/31/1988,12/31/1987,03/31/1987,03/31/1986
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,"1,000,000","1,000,000","2,000,000","2,000,000","4,000,000","4,000,000","4,000,000","4,000,000","3,000,000","7,000,000","7,000,000","29,000,000","31,000,000","31,000,000","31,000,000","31,000,000","31,000,000","31,000,000","30,000,000","30,000,000","31,000,000","31,000,000","31,000,000","31,000,000","58,000,000","58,000,000","58,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","49,000,000","50,000,000","56,000,000","52,000,000","53,000,000","50,321,000","50,206,000","28,687,000","28,814,000","68,792,000","56,121,000","63,050,000","64,401,000","60,614,000","60,722,000","60,740,000","61,002,000","52,754,000","35,343,000","34,779,000","34,443,000","47,707,000","47,808,000","46,758,000","33,207,000",,,,"33,094,000",,,,"35,872,000",,,,"36,273,000",,,,"29,421,000",,,,"32,244,000",,,,"28,851,000",,,,,,,,"26,272,000",,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,"145,000,000","178,000,000","230,000,000","231,000,000","246,000,000","252,000,000","252,000,000","252,000,000","246,000,000","238,000,000","324,000,000","296,000,000","591,000,000","591,000,000","594,000,000","588,000,000","544,000,000","542,000,000","540,000,000","541,000,000","540,000,000","531,000,000","531,000,000","541,000,000","2,015,000,000","2,010,000,000","2,009,000,000","1,974,000,000","1,927,000,000","1,797,000,000","1,750,000,000","1,031,000,000","1,037,000,000","1,247,000,000","1,474,000,000","1,503,000,000","1,410,000,000","1,309,936,000","1,315,520,000","1,286,377,000","1,027,822,000","2,471,263,000","2,372,319,000","2,433,489,000","2,462,965,000","2,143,634,000","2,201,026,000","2,293,053,000","2,277,947,000","2,189,106,000","1,470,868,000","1,447,545,000","1,392,972,000","1,265,229,000","1,258,840,000","1,232,130,000","1,461,228,000",,,,"1,420,313,000",,,,"1,187,712,000",,,,"823,287,000",,,,"1,012,680,000",,,,"938,573,000",,,,"893,321,000",,,,,,,,"444,299,000",,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"1,209,000,000","1,190,000,000","1,073,000,000","999,000,000","951,000,000","945,000,000","897,000,000","808,000,000","798,000,000","780,000,000","756,000,000","747,000,000","758,000,000","758,000,000","743,000,000","726,000,000","714,000,000","741,000,000","791,000,000","825,000,000","821,000,000","1,349,000,000","1,407,000,000","1,420,000,000","1,416,000,000","1,450,000,000","1,457,000,000","1,446,000,000","1,466,000,000","1,505,000,000","1,510,000,000","1,572,000,000","1,585,000,000","1,590,000,000","1,520,000,000","1,510,000,000","1,507,000,000","1,468,000,000","1,455,000,000","1,471,000,000","1,479,000,000","1,492,000,000","1,502,000,000","1,491,000,000","5,023,000,000","4,961,000,000","4,935,000,000","4,883,000,000","4,896,000,000","4,904,000,000","4,861,000,000","5,792,000,000","6,125,000,000","6,154,000,000","6,015,000,000","5,586,000,000","5,202,000,000","4,786,117,000","4,453,625,000","4,155,548,000","3,309,869,000","7,774,795,000","7,758,458,000","7,908,440,000","7,920,517,000","7,365,028,000","7,660,652,000","7,635,559,000","7,581,241,000","7,553,039,000","5,451,485,000","5,362,146,000","5,256,502,000","5,165,948,000","4,884,883,000","4,644,065,000","4,162,652,000",,,,"3,563,125,000",,,,"2,851,315,000",,,,"2,776,336,000",,,,"2,295,498,000",,,,"1,963,808,000",,,,"1,828,059,000",,,,,,,,"1,335,251,000",,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"208,000,000","215,000,000","215,000,000","221,000,000","205,000,000","205,000,000","212,000,000","214,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"136,000,000","92,000,000","148,000,000","136,000,000","114,000,000","70,000,000","106,000,000","112,000,000","78,000,000","80,000,000","68,000,000","64,000,000","56,000,000","69,000,000","37,000,000","32,000,000","19,000,000","10,000,000","12,000,000","13,000,000","17,000,000","21,000,000","23,000,000","25,000,000","14,000,000","34,000,000","16,000,000","23,000,000","18,000,000","16,000,000","31,000,000","20,000,000","11,000,000","20,000,000","76,000,000","70,000,000","114,000,000","81,000,000","67,000,000","37,000,000","29,000,000","26,000,000","24,000,000","5,000,000","399,000,000","350,000,000","308,000,000","300,000,000","285,000,000","404,000,000","477,000,000","686,000,000","677,000,000","702,000,000","629,000,000","797,000,000","672,000,000","453,473,000","378,354,000","307,892,000","1,121,100,000","1,168,906,000","1,005,653,000","877,229,000","589,700,000","567,443,000","450,302,000","155,778,000","152,204,000","198,079,000","332,540,000","339,979,000","355,746,000","458,609,000","592,477,000","483,867,000","469,191,000",,,,"445,269,000",,,,"863,403,000",,,,"744,466,000",,,,"461,452,000",,,,"392,143,000",,,,"180,742,000",,,,,,,,"192,541,000",,,,,,,,,,,,,,,,,,,,,
				Leases,"208,000,000","203,000,000","201,000,000","199,000,000","203,000,000","207,000,000","200,000,000","181,000,000","179,000,000","176,000,000","175,000,000","173,000,000","187,000,000","151,000,000","150,000,000","147,000,000","148,000,000","148,000,000","147,000,000","145,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-912,000,000","-890,000,000","-837,000,000","-794,000,000","-768,000,000","-769,000,000","-745,000,000","-724,000,000","-707,000,000","-718,000,000","-704,000,000","-694,000,000","-740,000,000","-742,000,000","-730,000,000","-725,000,000","-717,000,000","-738,000,000","-781,000,000","-807,000,000","-796,000,000","-1,355,000,000","-1,373,000,000","-1,381,000,000","-1,378,000,000","-1,412,000,000","-1,400,000,000","-1,388,000,000","-1,387,000,000","-1,408,000,000","-1,470,000,000","-1,506,000,000","-1,560,000,000","-1,547,000,000","-1,514,000,000","-1,484,000,000","-1,470,000,000","-1,425,000,000","-1,406,000,000","-1,403,000,000","-1,379,000,000","-1,357,000,000","-1,333,000,000","-1,279,000,000","-3,686,000,000","-3,484,000,000","-3,268,000,000","-3,070,000,000","-2,862,000,000","-2,715,000,000","-2,539,000,000","-2,794,000,000","-3,168,000,000","-3,428,000,000","-3,599,000,000","-3,533,000,000","-3,350,000,000","-3,195,968,000","-3,034,524,000","-2,903,617,000","-2,786,605,000","-7,162,372,000","-7,047,068,000","-6,965,660,000","-6,803,776,000","-6,258,822,000","-6,580,208,000","-6,414,293,000","-6,223,902,000","-6,184,411,000","-4,396,109,000","-4,274,205,000","-4,158,854,000","-4,007,701,000","-3,849,131,000","-3,637,586,000","-3,387,140,000","-3,234,417,000","-3,095,283,000","-2,957,250,000","-2,825,334,000","-2,700,102,000","-2,587,736,000","-2,527,745,000","-2,415,066,000","-2,313,710,000","-2,195,873,000","-2,197,561,000","-2,111,894,000","-2,073,988,000","-1,983,735,000","-1,897,535,000","-1,808,362,000","-1,734,435,000","-1,658,978,000","-1,606,143,000","-1,539,366,000","-1,497,804,000","-1,436,709,000","-1,367,783,000","-1,294,881,000","-1,258,973,000","-1,206,603,000","-1,240,494,000","-1,200,718,000","-1,161,713,000","-1,134,014,000","-1,127,402,000","-1,094,037,000","-1,072,500,000","-1,047,600,000","-1,023,400,000","-991,100,000","-965,300,000","-935,100,000","-912,000,000","-904,300,000","-878,600,000","-854,700,000","-828,500,000","-802,300,000","-801,400,000","-782,400,000","-762,400,000","-756,000,000","-789,600,000","-752,300,000","-618,500,000","-417,100,000","-297,100,000"
		GoodwillAndOtherIntangibleAssets,"518,000,000","483,000,000","463,000,000","483,000,000","499,000,000","509,000,000","520,000,000","511,000,000","515,000,000","563,000,000","581,000,000","597,000,000","528,000,000","537,000,000","542,000,000","511,000,000","521,000,000","524,000,000","520,000,000","523,000,000","467,000,000","480,000,000","533,000,000","523,000,000","604,000,000","860,000,000","866,000,000","888,000,000","911,000,000","635,000,000","640,000,000","645,000,000","649,000,000","653,000,000","658,000,000","662,000,000","323,000,000","334,000,000","342,000,000","351,000,000","360,000,000","371,000,000","387,000,000","404,000,000","421,000,000","439,000,000","456,000,000","473,000,000","491,000,000","1,169,000,000","1,198,000,000","2,444,000,000","2,494,000,000","4,159,000,000","4,245,000,000","4,322,000,000","4,424,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Goodwill,"289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","289,000,000","278,000,000","278,000,000","283,000,000","320,000,000","320,000,000","320,000,000","553,000,000","553,000,000","553,000,000","553,000,000","553,000,000","553,000,000","553,000,000","553,000,000","553,000,000","553,000,000","553,000,000","323,000,000","323,000,000","323,000,000","323,000,000","323,000,000","323,000,000","323,000,000","323,000,000","323,000,000","323,000,000","323,000,000","323,000,000","323,000,000","945,000,000","945,000,000","1,907,000,000","1,907,000,000","3,165,000,000","3,180,000,000","3,186,000,000","3,217,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"229,000,000","194,000,000","174,000,000","194,000,000","210,000,000","220,000,000","231,000,000","222,000,000","226,000,000","274,000,000","292,000,000","308,000,000","239,000,000","248,000,000","253,000,000","222,000,000","232,000,000","235,000,000","231,000,000","245,000,000","189,000,000","197,000,000","213,000,000","203,000,000","284,000,000","307,000,000","313,000,000","335,000,000","358,000,000","82,000,000","87,000,000","92,000,000","96,000,000","100,000,000","105,000,000","109,000,000",,"11,000,000","19,000,000","28,000,000","37,000,000","48,000,000","64,000,000","81,000,000","98,000,000","116,000,000","133,000,000","150,000,000","168,000,000","224,000,000","253,000,000","537,000,000","587,000,000","994,000,000","1,065,000,000","1,136,000,000","1,207,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
