name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
			OtherIntangibleAssets,"274,000,000","409,000,000","717,000,000","1,056,000,000","1,316,000,000","1,629,000,000","1,985,000,000","2,341,000,000","2,700,000,000","3,106,000,000","281,000,000","243,000,000","273,000,000","342,000,000","306,000,000","777,000,000","812,000,000","862,000,000","823,000,000",,"961,000,000",,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"49,000,000","300,000,000","251,000,000","268,000,000","235,000,000","221,000,000","224,000,000","216,000,000","215,000,000","265,000,000","453,000,000","637,000,000","653,000,000",,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"343,000,000","197,000,000","295,000,000","264,000,000","374,000,000","201,000,000","172,000,000","207,000,000","280,000,000","321,000,000","927,000,000","926,000,000","990,000,000","510,000,000","601,000,000","393,000,000","449,000,000","626,000,000","618,000,000","421,000,000","106,000,000","41,000,000","23,000,000","134,000,000","192,000,000","229,000,000","243,000,000","237,000,000",,,,,,,,
			NonCurrentDeferredTaxesAssets,"343,000,000","197,000,000","295,000,000","264,000,000","374,000,000","201,000,000","172,000,000","207,000,000","280,000,000","321,000,000","927,000,000","926,000,000","990,000,000","510,000,000","601,000,000","393,000,000","449,000,000","626,000,000","618,000,000","421,000,000","106,000,000","41,000,000","23,000,000","134,000,000","192,000,000","229,000,000","243,000,000","237,000,000",,,,,,,,
		DefinedPensionBenefit,"246,000,000","218,000,000","92,000,000","208,000,000","96,000,000","85,000,000","127,000,000","130,000,000","68,000,000","40,000,000","31,000,000","64,000,000","17,000,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"569,000,000","468,000,000","140,000,000","86,000,000","79,000,000","62,000,000","244,000,000","264,000,000","254,000,000","57,000,000","45,000,000","51,000,000","56,000,000","450,000,000","427,000,000","809,000,000","930,000,000","2,181,000,000","2,318,000,000","3,246,000,000","3,091,000,000","4,594,000,000","3,008,000,000","432,000,000","552,000,000","281,000,000","161,000,000","239,000,000","426,000,000","274,000,000","263,000,000","228,300,000","152,800,000","173,800,000","118,300,000","95,400,000"
TotalLiabilitiesNetMinorityInterest,"10,164,000,000","9,111,000,000","8,143,000,000","7,305,000,000","5,958,000,000","6,284,000,000","7,332,000,000","8,131,000,000","9,060,000,000","9,545,000,000","2,964,000,000","2,397,000,000","2,597,000,000","2,692,000,000","2,570,000,000","3,126,000,000","3,236,000,000","3,646,000,000","3,945,000,000","3,900,000,000","5,132,000,000","5,773,000,000","4,723,000,000","4,935,000,000","5,263,000,000","5,120,000,000","3,950,000,000","3,678,000,000","3,238,000,000","3,054,000,000","2,690,000,000","2,319,500,000","2,704,700,000","2,530,700,000","1,609,700,000","1,648,400,000"
	CurrentLiabilities,"2,390,000,000","2,123,000,000","2,474,000,000","2,258,000,000","2,264,000,000","2,555,000,000","2,662,000,000","2,747,000,000","3,430,000,000","3,499,000,000","1,981,000,000","1,587,000,000","1,532,000,000","2,025,000,000","2,078,000,000","2,346,000,000","1,925,000,000","2,200,000,000","1,934,000,000","1,580,000,000","2,813,000,000","2,628,000,000","2,196,000,000","2,496,000,000","2,486,000,000","3,188,000,000","2,199,000,000","2,001,000,000","1,665,000,000","1,568,000,000","1,479,000,000","1,302,800,000","1,199,400,000","1,246,700,000","1,113,100,000","1,128,900,000"
		PayablesAndAccruedExpenses,"1,073,000,000","909,000,000","1,001,000,000","1,036,000,000","923,000,000","891,000,000","609,000,000","792,000,000","863,000,000","1,521,000,000","1,981,000,000","1,587,000,000","1,532,000,000","1,261,000,000","1,090,000,000","1,882,000,000","1,711,000,000","1,513,000,000","1,219,000,000","1,215,000,000","2,342,000,000","2,056,000,000","1,736,000,000","2,271,000,000","2,009,000,000","2,991,000,000","2,131,000,000","1,653,000,000","1,460,000,000","1,450,000,000","1,388,000,000","1,210,700,000",,,,
			Payables,"549,000,000","434,000,000","581,000,000","594,000,000","479,000,000","481,000,000","508,000,000","649,000,000","650,000,000","726,000,000","730,000,000","631,000,000","364,000,000","657,000,000","560,000,000","750,000,000","552,000,000","1,496,000,000","511,000,000","1,205,000,000","1,921,000,000","1,682,000,000","1,582,000,000","2,082,000,000","1,940,000,000","2,573,000,000","1,877,000,000","1,495,000,000","1,460,000,000","1,450,000,000","1,388,000,000","1,210,700,000",,,,
