name,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,09/30/1990
		NetPPE,"4,033,000,000","3,711,000,000","3,487,000,000","3,358,000,000","3,171,000,000","3,081,000,000","3,037,000,000","2,945,000,000","2,932,000,000","2,975,000,000","3,073,000,000","3,224,000,000","3,224,000,000","3,216,000,000","3,164,000,000","3,065,000,000","2,270,000,000","2,306,000,000","2,341,000,000","2,391,000,000","2,484,000,000","2,534,000,000","2,574,000,000","2,523,000,000","2,531,000,000","2,487,000,000","2,555,000,000","2,573,000,000","2,562,000,000","2,995,000,000","2,974,000,000","2,971,000,000","2,874,000,000","2,851,000,000","2,888,000,000","2,760,000,000","2,607,000,000","2,414,000,000","2,267,000,000","2,114,000,000","2,361,000,000","2,373,000,000","2,382,000,000","2,374,000,000","2,384,000,000","2,387,000,000","2,311,000,000","2,282,000,000","2,262,000,000","2,162,000,000","1,912,000,000","1,817,000,000","1,794,000,000","1,788,000,000","1,631,000,000","1,582,000,000","1,559,000,000","1,482,000,000","1,420,000,000","1,275,000,000","1,154,000,000","1,022,000,000","905,000,000","800,000,000","746,000,000","675,000,000","590,683,000","549,923,000","536,890,000","622,265,000","619,389,000","588,267,000","687,812,000","686,283,000","742,862,000","772,797,000","750,523,000","431,396,000","440,924,000","424,211,000","423,429,000","431,705,000","437,631,000","440,195,000","537,482,000","555,991,000","541,178,000","557,899,000","631,048,000","609,682,000","565,671,000","518,686,000","475,152,000","425,090,000","380,902,000","362,072,000","350,628,000","352,700,000","297,700,000","261,400,000","240,700,000","185,500,000","153,300,000","137,300,000","121,100,000","113,700,000","106,600,000","78,500,000","72,800,000","62,300,000","51,400,000","47,300,000","22,400,000","20,300,000","18,500,000","18,300,000","17,100,000","16,700,000","10,800,000"
			GrossPPE,,"8,845,000,000",,,,"7,648,000,000",,,,"7,461,000,000",,,,"7,419,000,000",,,,"6,040,000,000",,,,"5,894,000,000",,,,"5,680,000,000","6,070,000,000","5,989,000,000","5,862,000,000","6,168,000,000",,,,"5,923,000,000",,,,"5,427,000,000",,,,"4,840,000,000",,,"4,573,000,000","4,468,000,000","4,283,000,000","4,150,000,000","4,034,000,000","3,851,000,000","3,508,000,000","3,327,000,000","3,220,000,000","3,130,000,000","2,899,000,000","2,806,000,000","2,724,000,000","2,566,000,000","2,441,000,000","2,237,000,000","2,066,000,000","1,885,000,000","1,731,000,000","1,586,000,000","1,491,000,000","1,381,000,000","1,266,207,000","1,192,597,000","1,157,513,000","1,278,704,000","1,240,113,000","1,170,519,000","1,233,110,000","1,209,770,000","1,249,350,000","1,239,227,000","1,183,001,000","839,920,000","822,528,000","805,815,000","805,033,000","813,309,000","877,826,000","774,995,000","872,282,000","890,752,000","870,778,000","887,499,000","960,648,000","939,316,000","858,068,000","776,719,000","700,501,000","626,024,000","498,202,000","479,372,000","467,928,000","470,000,000","364,100,000","327,800,000","307,100,000","251,900,000","194,900,000","178,900,000","162,700,000","155,300,000","133,500,000","105,400,000","99,700,000","89,200,000","72,400,000","68,300,000","43,400,000","41,300,000","33,500,000","33,300,000","32,100,000","31,700,000","20,600,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0","0","0",,,,"0",,,,"0",,,,"0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,"173,000,000",,,,"170,000,000",,,,"186,000,000",,,,"195,000,000",,,,"192,000,000",,,,"212,000,000",,,,"225,000,000","220,000,000","214,000,000","213,000,000","212,000,000",,,,"203,000,000",,,,"203,000,000",,,,"201,000,000",,,"187,000,000","187,000,000","187,000,000","186,000,000","186,000,000","183,000,000","124,000,000","124,000,000","124,000,000","124,000,000","72,000,000","79,000,000","79,000,000","76,000,000","77,000,000","103,000,000","76,000,000","67,000,000","65,000,000","49,000,000","48,000,000","47,000,000","46,887,000","46,884,000","46,880,000","47,214,000","47,209,000","47,148,000","49,673,000","41,668,000","43,383,000","43,733,000","43,295,000","38,093,000",,,,"37,953,000",,,,"36,310,000",,,,"36,310,000",,,,"32,904,000",,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,"1,606,000,000",,,,"1,546,000,000",,,,"1,575,000,000",,,,"1,595,000,000",,,,"1,545,000,000",,,,"1,544,000,000",,,,"1,456,000,000","1,587,000,000","1,597,000,000","1,598,000,000","1,733,000,000",,,,"1,392,000,000",,,,"1,427,000,000",,,,"1,424,000,000",,,"1,389,000,000","1,364,000,000","1,355,000,000","1,348,000,000","1,592,000,000","1,493,000,000","1,292,000,000","1,210,000,000","1,175,000,000","1,159,000,000","1,100,000,000","1,095,000,000","1,059,000,000","1,024,000,000","929,000,000","855,000,000","792,000,000","721,000,000","626,000,000","552,000,000","515,000,000","467,000,000","426,414,000","403,720,000","390,291,000","338,424,000","371,622,000","373,703,000","373,975,000","347,955,000","294,334,000","341,123,000","335,027,000","325,841,000",,,,"313,063,000",,,,"318,969,000",,,,"277,957,000",,,,"186,614,000",,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,"6,612,000,000",,,,"5,449,000,000",,,,"5,296,000,000",,,,"5,246,000,000",,,,"3,957,000,000",,,,"3,792,000,000",,,,"3,551,000,000","3,822,000,000","3,768,000,000","3,629,000,000","3,525,000,000",,,,"3,317,000,000",,,,"3,140,000,000",,,,"2,898,000,000",,,"2,690,000,000","2,622,000,000","2,409,000,000","2,316,000,000","2,256,000,000","2,175,000,000","2,092,000,000","1,993,000,000","1,921,000,000","1,847,000,000","1,727,000,000","1,632,000,000","1,586,000,000","1,466,000,000","1,435,000,000","1,279,000,000","1,187,000,000","1,097,000,000","1,040,000,000","985,000,000","928,000,000","867,000,000","792,906,000","741,993,000","720,342,000","850,316,000","821,282,000","749,668,000","809,462,000","820,147,000","863,013,000","854,371,000","804,679,000","475,986,000",,,,"462,293,000",,,,"535,473,000",,,,"625,049,000",,,,"406,506,000",,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,000,000",,,,,,,,,"42,750,000",,,,,"48,620,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,"134,000,000",,,,"182,000,000",,,,"79,000,000",,,,"73,000,000",,,,"92,000,000",,,,"72,000,000",,,,"201,000,000","196,000,000","166,000,000","193,000,000","480,000,000",,,,"774,000,000",,,,"394,000,000",,,,"75,000,000",,,"81,000,000","76,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,"320,000,000",,,,"301,000,000",,,,"325,000,000",,,,"310,000,000",,,,"254,000,000",,,,"274,000,000",,,,"247,000,000","245,000,000","244,000,000","229,000,000","218,000,000",,,,"237,000,000",,,,"263,000,000",,,,"242,000,000",,,"226,000,000","219,000,000","332,000,000","300,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,"-5,134,000,000",,,,"-4,567,000,000",,,,"-4,486,000,000",,,,"-4,203,000,000",,,,"-3,734,000,000",,,,"-3,360,000,000",,,,"-3,193,000,000","-3,515,000,000","-3,416,000,000","-3,300,000,000","-3,173,000,000",,,,"-3,072,000,000",,,,"-3,013,000,000",,,,"-2,467,000,000",,,"-2,189,000,000","-2,081,000,000","-1,972,000,000","-1,868,000,000","-1,772,000,000","-1,689,000,000","-1,596,000,000","-1,510,000,000","-1,426,000,000","-1,342,000,000","-1,268,000,000","-1,224,000,000","-1,165,000,000","-1,084,000,000","-1,021,000,000","-962,000,000","-912,000,000","-863,000,000","-826,000,000","-786,000,000","-745,000,000","-706,000,000","-675,524,000","-642,674,000","-620,623,000","-656,439,000","-620,724,000","-582,252,000","-545,298,000","-523,487,000","-506,488,000","-466,430,000","-432,478,000","-408,524,000","-381,604,000","-381,604,000","-381,604,000","-381,604,000","-440,195,000","-334,800,000","-334,800,000","-334,761,000","-329,600,000","-329,600,000","-329,600,000","-329,634,000","-292,397,000","-258,033,000","-225,349,000","-200,934,000","-117,300,000","-117,300,000","-117,300,000","-117,300,000","-66,400,000","-66,400,000","-66,400,000","-66,400,000","-41,600,000","-41,600,000","-41,600,000","-41,600,000","-26,900,000","-26,900,000","-26,900,000","-26,900,000","-21,000,000","-21,000,000","-21,000,000","-21,000,000","-15,000,000","-15,000,000","-15,000,000","-15,000,000","-9,800,000"
